country,capital
Antigua and Barbuda, Saint John's
Argentina, Buenos Aires
Bahamas, Nassau
Barbados, Bridgetown
Belize, Belmopan
Bolivia, La Paz
Brazil, Brasília
Canada, Ottawa
Chile, Santiago
Colombia, Bogotá
Costa Rica, San José
Cuba, Havana
Dominica, Roseau
Dominican Republic, Santo Domingo
Ecuador, Quito
El Salvador, San Salvador
Grenada, St. George's
Guatemala, Guatemala City
Guyana, Georgetown
Haiti, Port-au-Prince
Honduras, Tegucigalpa
Jamaica, Kingston
Mexico, Mexico City
Nicaragua, Managua
Panama, Panama City
Paraguay, Asunción
Peru, Lima
Saint Kitts and Nevis, Basseterre
Saint Lucia, Castries
Saint Vincent and the Grenadines, Kingstown
Suriname, Paramaribo
Trinidad and Tobago, Port of Spain
United States, Washington  D.C.
Uruguay, Montevideo
Venezuela, Caracas
